"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5819926",-122.334313172,37.9253748473,2012,"0710","0","2","4","09",0,1,"A",,,,,,2100,8,"D","C","A","CUTTING BL","37TH ST",0,,"Y","2013-11-30",710,"2012-08-14",2048,"1133","SOUTH","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5819922",-122.342953188,37.9350949605,2012,"0710","0","3","4","09",0,2,"A",,,,,,1500,8,"D","C","A","MACDONALD AV","27TH ST",0,,"Y","2014-01-10",710,"2012-08-08",1314,"1600","N","5","5","0","0",,"0","007","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","A","A","0","Y","-","-",0,0,2,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5819839",0,0,2012,"0710","0","1","4","08",0,1,"A",,"Y",,,,1800,8,"H","G","A","GAYNOR AV","23RD ST",39,"E","N","2013-11-30",710,"2012-08-13",1600,"1345",,"5","5","0","0",,"0",,"-","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"F","A","H","-","A","D","0","Y","-","-",0,0,1,0,0,0,1,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5819835",-122.317173213,37.9868749434,2012,"0710","0","5","4","03",0,1,"A",,,,,,1800,8,"C","C","A","RICHMOND PKWY","BLUME DR",0,"W","N","2013-11-30",710,"2012-08-03",1620,"1494","NORTH","5","5","0","0",,"0","008","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5819763",-122.32434955,37.93395287,2012,"0710","0","2","4","05",0,1,"A",,"Y",,,,2100,8,"-","G","A","23RD ST","CUTTING BL",0,,"Y","2013-11-30",710,"2012-08-07",1854,"1426","SOUTH","5","5","0","0",,"0","002","-","Y","CC",4,123,"-","-",2.12,"H","-","N","N",2,"A","-",21650,"1","N","A","H","-","A","D","0","Y","L",,0,0,1,0,0,0,1,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5819615",-122.346383124,37.9355948581,2012,"0710","0","3","4","09",0,1,"A",,,,,,1800,8,"B","C","A","MACDONALD AV","24TH ST",0,,"Y","2014-03-07",710,"2012-08-15",1712,"1386","NORTH","5","5","0","0",,"0","007","-","N",,0,0,,,0,,,,"Y",2,"A","-",21802,"B","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5812199",-122.337600236,37.9252719336,2012,"0710","0","3","4","01",0,1,"A",,,,,"Y",2100,10,"E","E","A","CUTTING BL","CARLSON BL",180,"E","N","2013-12-19",710,"2012-10-03",1940,"1133","SOUTH","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","N","A","H","-","C","D","0","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5812198",-122.362630665,37.9431937907,2012,"0710","0","6","3","03",0,2,"A",,,,,,1800,10,"A","C","A","7TH ST","PENNSYLVANIA AV",218,"N","N","2013-12-19",710,"2012-10-20",1707,"1618",,"5","5","0","0",,"0","005","-","N",,0,0,,,0,,,,"Y",3,"A","-",22350,,"F","A","H","-","A","A","0","Y","D","22",0,1,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5812196",-122.334473188,37.9280549051,2012,"0710","0","2","3","09",0,2,"A",,,,,,900,10,"D","C","A","37TH ST","WALL AV",0,,"Y","2013-12-19",710,"2012-10-16",828,"1324","SOUTH","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"N",2,"A","-",21802,"A","N","A","H","-","A","D","0","Y","A","07",0,2,0,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5811620",-122.34955309,37.9399748824,2012,"0710","0","1","4","10",0,2,"C","Y",,,,,900,10,"G","B","B","ROOSEVELT AV","21ST ST",0,,"Y","2013-12-18",710,"2012-10-22",713,"1332",,"5","5","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",3,"A","-",21950,"A","N","B","H","-","C","D","0","Y","D",,0,0,2,0,2,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5811619",-122.33822314,37.9252449345,2012,"0710","0","7","4","12",0,1,"B",,,,,,1200,10,"D","C","A","CUTTING BL","CARLSON BL",0,,"Y","2014-03-29",710,"2012-10-21",918,"1609","SD","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5811618",-122.354197463,37.9473970467,2012,"0710","0","4","4","-",0,1,"-","Y",,,,,1800,10,"-","-","-","COALINGA AV","17TH ST",105,"W","N","2014-03-28",710,"2012-10-11",1520,"1365","CENTR","5","5","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",0,,"N","-","-","-","-","-","0","Y","N","60",0,0,1,0,1,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5811606",-122.318053096,37.9014048788,2012,"0710","0","4","3","05",0,1,"A",,"Y",,,,2100,10,"D","G","A","CENTRAL AV","RYDIN RD",0,,"Y","2013-12-18",710,"2012-10-04",1818,"1494","SOUTH","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"N",2,"A","-",21650,"1","N","A","H","-","A","A","0","Y","L","04",0,1,0,0,0,0,1,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5811605",-122.356183225,37.93849485,2012,"0710","0","3","4","03",0,1,"A",,,,,,1500,10,"-","C","A","BARRETT AV","MARINA AV",0,,"Y","2013-12-18",710,"2012-10-10",1226,"1324","SOUTH","5","5","0","0",,"0","001","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5811604",-122.313646858,37.9770972487,2012,"0710","0","3","3","05",0,1,"A",,,,,,1500,10,"E","I","A","PARK CENTRAL","PARKSIDE DR",129,"S","N","2013-12-18",710,"2012-10-03",1320,"1494","NORTH","5","5","0","0",,"0","008","-","N",,0,0,,,0,,,,"Y",1,"A","-",21650,,"N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
