job,total_workers,median_pay,men_workers,men_median_pay,women_workers,women_median_pay
Manufactured building and mobile home installers,3,,3,,0,
Riggers,13,,13,,0,
Signal and track switch repairers,11,,11,,0,
"Helpers--installation, maintenance, and repair workers",15,,14,,2,
"Other installation, maintenance, and repair workers",156,774,150,772,6,
First-line supervisors of production and operating workers,722,966,588,1007,133,716
"Aircraft structure, surfaces, rigging, and systems assemblers",1,,0,,1,
"Electrical, electronics, and electromechanical assemblers",123,624,73,682,50,587
Engine and other machine assemblers,14,,11,,2,
Structural metal fabricators and fitters,25,,24,,1,
Miscellaneous assemblers and fabricators,957,630,595,700,362,559
Bakers,135,472,67,488,68,464
"Butchers and other meat, poultry, and fish processing workers",259,587,196,621,63,487
"Food and tobacco roasting, baking, and drying machine operators and tenders",7,,4,,3,
Food batchmakers,70,575,32,,38,
Food cooking machine operators and tenders,8,,3,,5,
"Food processing workers, all other",171,676,119,701,52,545
Computer control programmers and operators,100,868,88,912,12,
"Extruding and drawing machine setters, operators, and tenders, metal and 
plastic",18,,17,,1,
"Forging machine setters, operators, and tenders, metal and plastic",9,,8,,1,
"Rolling machine setters, operators, and tenders, metal and plastic",9,,6,,2,
"Cutting, punching, and press machine setters, operators, and tenders, metal 
and plastic",84,665,74,688,9,
"Drilling and boring machine tool setters, operators, and tenders, metal and 
plastic",7,,7,,0,
"Grinding, lapping, polishing, and buffing machine tool setters, operators, 
and tenders, metal and plastic",40,,35,,4,
"Lathe and turning machine tool setters, operators, and tenders, metal and 
plastic",14,,13,,1,
"Milling and planing machine setters, operators, and tenders, metal and 
plastic",5,,3,,2,
Machinists,343,831,326,834,16,
"Metal furnace operators, tenders, pourers, and casters",23,,20,,3,
"Model makers and patternmakers, metal and plastic",3,,1,,3,
"Molders and molding machine setters, operators, and tenders, metal and 
plastic",43,,38,,5,
"Multiple machine tool setters, operators, and tenders, metal and plastic",5,,4,,1,
Tool and die makers,59,1007,56,1021,3,
"Welding, soldering, and brazing workers",541,812,517,821,24,
"Heat treating equipment setters, operators, and tenders, metal and plastic",2,,1,,1,
"Layout workers, metal and plastic",11,,11,,0,
"Plating and coating machine setters, operators, and tenders, metal and 
plastic",16,,14,,2,
"Tool grinders, filers, and sharpeners",7,,7,,0,
"Metal workers and plastic workers, all other",381,654,303,679,78,574
Prepress technicians and workers,13,,8,,4,
Printing press operators,151,758,126,789,26,
Print binding and finishing workers,8,,4,,4,
Laundry and dry-cleaning workers,106,450,27,,79,443
"Pressers, textile, garment, and related materials",19,,10,,9,
Sewing machine operators,157,519,49,,108,521
Shoe and leather workers and repairers,1,,0,,1,
Shoe machine operators and tenders,3,,2,,1,
"Tailors, dressmakers, and sewers",31,,10,,21,
Textile bleaching and dyeing machine operators and tenders,0,,0,,0,
"Textile cutting machine setters, operators, and tenders",6,,2,,4,
"Textile knitting and weaving machine setters, operators, and tenders",17,,8,,9,
"Textile winding, twisting, and drawing out machine setters, operators, and 
tenders",12,,4,,8,
"Extruding and forming machine setters, operators, and tenders, synthetic 
and glass fibers",0,,0,,0,
Fabric and apparel patternmakers,1,,0,,1,
Upholsterers,22,,18,,4,
"Textile, apparel, and furnishings workers, all other",19,,10,,9,
Cabinetmakers and bench carpenters,38,,36,,2,
Furniture finishers,8,,7,,1,
"Model makers and patternmakers, wood",1,,1,,0,
"Sawing machine setters, operators, and tenders, wood",26,,26,,0,
"Woodworking machine setters, operators, and tenders, except sawing",16,,12,,4,
"Woodworkers, all other",19,,15,,4,
"Power plant operators, distributors, and dispatchers",47,,45,,2,
Stationary engineers and boiler operators,76,1088,72,1142,4,
Water and wastewater treatment plant and system operators,107,907,102,910,5,
Miscellaneous plant and system operators,41,,34,,6,
"Chemical processing machine setters, operators, and tenders",58,877,55,879,3,
"Crushing, grinding, polishing, mixing, and blending workers",70,771,62,795,8,
Cutting workers,51,521,40,,12,
"Extruding, forming, pressing, and compacting machine setters, operators, 
and tenders",13,,10,,3,
"Furnace, kiln, oven, drier, and kettle operators and tenders",5,,5,,0,
"Inspectors, testers, sorters, samplers, and weighers",717,765,443,853,275,637
Jewelers and precious stone and metal workers,24,,20,,5,
"Medical, dental, and ophthalmic laboratory technicians",57,598,16,,40,
Packaging and filling machine operators and tenders,275,553,128,598,147,516
Painting workers,131,693,117,705,14,
Photographic process workers and processing machine operators,23,,16,,7,
Semiconductor processors,2,,0,,2,
Adhesive bonding machine operators and tenders,4,,4,,0,
"Cleaning, washing, and metal pickling equipment operators and tenders",10,,8,,2,
Cooling and freezing equipment operators and tenders,2,,1,,1,
Etchers and engravers,5,,3,,2,
"Molders, shapers, and casters, except metal and plastic",25,,21,,4,
"Paper goods machine setters, operators, and tenders",28,,23,,5,
Tire builders,10,,10,,0,
Helpers--production workers,30,,19,,11,
"Production workers, all other",890,663,653,716,238,570
Supervisors of transportation and material moving workers,192,881,160,919,31,
Aircraft pilots and flight engineers,112,1736,105,1750,7,
Air traffic controllers and airfield operations specialists,16,,11,,5,
Flight attendants,71,860,20,,51,873
"Ambulance drivers and attendants, except emergency medical technicians",8,,7,,1,
Bus drivers,356,605,209,671,148,517
Driver/sales workers and truck drivers,2828,797,2689,807,139,589
Taxi drivers and chauffeurs,362,604,308,623,54,453
"Motor vehicle operators, all other",33,,28,,5,
Locomotive engineers and operators,43,,36,,7,
"Railroad brake, signal, and switch operators",5,,5,,0,
Railroad conductors and yardmasters,42,,39,,2,
"Subway, streetcar, and other rail transportation workers",9,,7,,2,
Sailors and marine oilers,19,,19,,0,
Ship and boat captains and operators,29,,29,,0,
Ship engineers,3,,3,,0,
Bridge and lock tenders,5,,3,,2,
Parking lot attendants,65,560,49,,16,
Automotive and watercraft service attendants,80,514,73,535,7,
Transportation inspectors,41,,33,,8,
"Transportation attendants, except flight attendants",21,,11,,10,
Other transportation workers,20,,19,,1,
Conveyor operators and tenders,1,,1,,0,
Crane and tower operators,52,902,51,898,1,
"Dredge, excavating, and loading machine operators",29,,28,,1,
Hoist and winch operators,6,,6,,0,
Industrial truck and tractor operators,584,624,538,632,46,
Cleaners of vehicles and equipment,237,530,197,531,40,
"Laborers and freight, stock, and material movers, hand",1450,578,1196,595,254,500
Machine feeders and offbearers,29,,14,,15,
"Packers and packagers, hand",368,480,158,500,210,462
Pumping station operators,19,,19,,0,
Refuse and recyclable material collectors,56,522,49,,7,
Mine shuttle car operators,0,,0,,0,
"Tank car, truck, and ship loaders",6,,6,,0,
"Material moving workers, all other",41,,34,,6,
