"CASE_ID","ACCIDENT_YEAR","COLLISION_DATE","INTERSECTION","COLLISION_TIME","DAY_OF_WEEK","PRIMARY_RD","SECONDARY_RD","NUMBER_KILLED","NUMBER_INJURED","HIT_AND_RUN","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","ALCOHOL_INVOLVED","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","COUNTY","CITY","POINT_X","POINT_Y"
"6094198",2013,2013-05-16,"N","1805",4,"RT 80","SFOBB TP",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.3198,37.82337
"6094678",2013,2013-04-30,"N","1730",2,"RT 24","SHATTUCK AV",0,1,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.26618,37.83483
"6094682",2013,2013-04-28,"N","0705",7,"RT 580","106TH AV",0,1,"N",,,,"Y",0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.14717,37.74361
"6094696",2013,2013-04-26,"N","0807",5,"RT 580","35TH AV",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.20276,37.79168
"6096146",2013,2013-05-11,"N","0305",6,"RT 880","23RD AV",0,1,"N",,,,"Y",0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.23694,37.77764
"6096150",2013,2013-05-06,"N","1525",1,"RT 13","CALAVERAS AV",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.18064,37.78713
"6096181",2013,2013-05-15,"N","0924",3,"82ND AV","IRIS ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.16703,37.76167
"6096185",2013,2013-05-11,"Y","0915",6,"COOLIDGE AV","MONTANA ST",0,1,"N",,,"Y",,0,0,0,0,0,1,"ALAMEDA","OAKLAND",-122.21036,37.79695
"6098050",2013,2013-04-17,"N","1839",3,"FOOTHILL BL","48TH AV",0,1,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.20771,37.77273
"6098402",2013,2013-05-17,"N","1113",5,"98TH AV","EMPIRE RD",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.19135,37.73058
