country,iso3c,year,value
Singapore,SGP,1997,76.89756097560975
Singapore,SGP,1998,77.3
Singapore,SGP,1999,77.55121951219512
Singapore,SGP,2000,77.95121951219514
Singapore,SGP,2001,78.25121951219512
Singapore,SGP,2002,78.55121951219512
Singapore,SGP,2003,79.0390243902439
Singapore,SGP,2004,79.49024390243902
Singapore,SGP,2005,79.99024390243903
Singapore,SGP,2006,80.14146341463415
Singapore,SGP,2007,80.44146341463416
Singapore,SGP,2008,80.79024390243903
Singapore,SGP,2009,81.24146341463415
Singapore,SGP,2010,81.54146341463417
Singapore,SGP,2011,81.7439024390244
Singapore,SGP,2012,81.99512195121952
Singapore,SGP,2013,82.24634146341465
Singapore,SGP,2014,82.64634146341464
Solomon Islands,SLB,1990,56.70475609756099
Solomon Islands,SLB,1991,57.213853658536586
Solomon Islands,SLB,1992,57.82112195121952
Solomon Islands,SLB,1993,58.45458536585366
Solomon Islands,SLB,1994,59.08373170731708
Solomon Islands,SLB,1995,59.6959512195122
Solomon Islands,SLB,1996,60.296585365853666
Solomon Islands,SLB,1997,60.90860975609757
Solomon Islands,SLB,1998,61.54363414634146
Solomon Islands,SLB,1999,62.19087804878049
Solomon Islands,SLB,2000,62.836731707317085
Solomon Islands,SLB,2001,63.465609756097564
Solomon Islands,SLB,2002,64.06236585365855
Solomon Islands,SLB,2003,64.61409756097561
Solomon Islands,SLB,2004,65.1128780487805
Solomon Islands,SLB,2005,65.55348780487806
Solomon Islands,SLB,2006,65.93460975609757
Solomon Islands,SLB,2007,66.26680487804879
Solomon Islands,SLB,2008,66.56121951219514
Solomon Islands,SLB,2009,66.82468292682927
Solomon Islands,SLB,2010,67.06565853658537
Solomon Islands,SLB,2011,67.29121951219513
Solomon Islands,SLB,2012,67.50658536585368
Solomon Islands,SLB,2013,67.7189268292683
Solomon Islands,SLB,2014,67.93080487804879
Sierra Leone,SLE,1990,37.35341463414635
Sierra Leone,SLE,1991,36.74834146341464
Sierra Leone,SLE,1992,36.24658536585366
Sierra Leone,SLE,1993,35.88575609756098
Sierra Leone,SLE,1994,35.70139024390244
Sierra Leone,SLE,1995,35.724780487804885
Sierra Leone,SLE,1996,35.974146341463424
Sierra Leone,SLE,1997,36.426195121951224
Sierra Leone,SLE,1998,37.04680487804879
Sierra Leone,SLE,1999,37.81253658536586
Sierra Leone,SLE,2000,38.69014634146342
Sierra Leone,SLE,2001,39.645487804878044
Sierra Leone,SLE,2002,40.64290243902439
Sierra Leone,SLE,2003,41.64912195121952
Sierra Leone,SLE,2004,42.639195121951225
Sierra Leone,SLE,2005,43.60307317073171
Sierra Leone,SLE,2006,44.54807317073171
Sierra Leone,SLE,2007,45.488365853658536
Sierra Leone,SLE,2008,46.42763414634147
Sierra Leone,SLE,2009,47.350219512195125
Sierra Leone,SLE,2010,48.2289512195122
Sierra Leone,SLE,2011,49.03473170731708
Sierra Leone,SLE,2012,49.74909756097561
Sierra Leone,SLE,2013,50.363121951219526
Sierra Leone,SLE,2014,50.87878048780488
El Salvador,SLV,1990,63.98800000000001
El Salvador,SLV,1991,64.83153658536587
El Salvador,SLV,1992,65.5779756097561
El Salvador,SLV,1993,66.22282926829268
El Salvador,SLV,1994,66.76304878048781
El Salvador,SLV,1995,67.20519512195122
El Salvador,SLV,1996,67.5648292682927
El Salvador,SLV,1997,67.87363414634147
El Salvador,SLV,1998,68.1578048780488
El Salvador,SLV,1999,68.43541463414634
El Salvador,SLV,2000,68.71704878048781
El Salvador,SLV,2001,69.00570731707317
El Salvador,SLV,2002,69.2978780487805
El Salvador,SLV,2003,69.58953658536585
El Salvador,SLV,2004,69.88273170731708
El Salvador,SLV,2005,70.1789268292683
El Salvador,SLV,2006,70.47917073170733
El Salvador,SLV,2007,70.78046341463417
El Salvador,SLV,2008,71.08078048780489
El Salvador,SLV,2009,71.37814634146342
El Salvador,SLV,2010,71.67060975609758
El Salvador,SLV,2011,71.95617073170733
El Salvador,SLV,2012,72.23185365853658
El Salvador,SLV,2013,72.49814634146341
El Salvador,SLV,2014,72.75456097560976
San Marino,SMR,1996,79.11951219512196
San Marino,SMR,1997,79.47317073170733
San Marino,SMR,1998,80.17317073170733
San Marino,SMR,1999,80.52439024390245
San Marino,SMR,2000,80.61951219512196
San Marino,SMR,2001,80.97317073170733
San Marino,SMR,2002,81.11951219512197
San Marino,SMR,2003,81.21951219512196
San Marino,SMR,2004,81.7219512195122
San Marino,SMR,2005,81.97560975609757
San Marino,SMR,2006,82.18048780487806
San Marino,SMR,2007,82.50609756097562
San Marino,SMR,2008,82.83170731707318
San Marino,SMR,2009,82.99554323725056
San Marino,SMR,2010,83.15937915742795
San Marino,SMR,2011,83.32321507760531
Somalia,SOM,1990,45.38934146341464
Somalia,SOM,1991,45.270878048780496
Somalia,SOM,1992,45.372317073170734
Somalia,SOM,1993,45.73321951219512
Somalia,SOM,1994,46.34804878048781
Somalia,SOM,1995,47.161829268292685
Somalia,SOM,1996,48.077609756097566
Somalia,SOM,1997,48.97643902439025
Somalia,SOM,1998,49.76382926829269
Somalia,SOM,1999,50.40126829268293
Somalia,SOM,2000,50.87826829268293
Somalia,SOM,2001,51.22280487804879
Somalia,SOM,2002,51.50185365853659
Somalia,SOM,2003,51.77190243902439
Somalia,SOM,2004,52.05290243902439
Somalia,SOM,2005,52.35585365853659
Somalia,SOM,2006,52.682780487804884
Somalia,SOM,2007,53.01865853658537
Somalia,SOM,2008,53.35451219512195
Somalia,SOM,2009,53.68934146341464
Somalia,SOM,2010,54.02365853658537
Somalia,SOM,2011,54.3569512195122
Somalia,SOM,2012,54.69024390243903
Somalia,SOM,2013,55.02302439024391
Somalia,SOM,2014,55.35480487804879
Serbia,SRB,1991,71.48780487804879
Serbia,SRB,1997,72.03902439024391
Serbia,SRB,2000,71.5829268292683
Serbia,SRB,2001,72.23414634146341
Serbia,SRB,2002,72.28536585365855
Serbia,SRB,2003,72.43658536585367
Serbia,SRB,2004,72.6829268292683
Serbia,SRB,2005,72.83414634146342
Serbia,SRB,2006,73.38536585365854
Serbia,SRB,2007,73.63170731707318
Serbia,SRB,2008,73.88536585365853
Serbia,SRB,2009,73.98536585365855
Serbia,SRB,2010,74.33658536585367
Serbia,SRB,2011,74.53658536585367
Serbia,SRB,2012,74.83658536585368
Serbia,SRB,2013,75.18536585365854
